"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"H98XCITB","book","1984","AA., VV.","Pirandello e la cultura del suo tempo","","","","","","","1984","2020-05-05 13:58:00","2022-01-03 16:27:30","","","","","","","","","","","","","Mursia","Milano","","","","","","","","","","","","","","Milioto, Stefano; Scrivano, Enzo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D3374T7G","bookSection","1983","Cappello, Giovanni","Pirandello e Bontempelli","Pirandello e il teatro del suo tempo","","","","","","1983","2020-05-05 14:03:18","2022-01-11 07:30:25","","221-237","","","","","","","","","","","Edizioni del Centro Nazionale di Studi Pirandelliani","Agrigento","","","","","","","","","","","","","","Milioto, Stefano","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43V5MTJ4","journalArticle","1961","Baldacci, Luigi","Il teatro di Bontempelli e l'esempio di Pirandello","Paragone","","","","","","1961","2020-05-06 08:31:22","2021-12-23 14:48:09","","25-34","","144","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFIWUSJ6","bookSection","1998","Airoldi Namer, Fulvia","Pirandello e il ""realismo magico""","Pirandello e le avanguardie","","","","","","1998","2020-05-06 12:46:08","2021-12-25 16:17:33","","183-200","","","","","","","","","","","Edizioni del Centro Nazionale di Studi pirandelliani","Agrigento","","","","","","","","","","","","","","Lauretta, Enzo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LVYGZ5AB","bookSection","1987","Donati, Corrado","Il rapporto Pirandello-Bontempelli dalla trasgressione grottesca al richiamo al mito","Luigi Pirandello: poetica e presenza","","","","","","1987","2020-05-06 14:15:24","2021-12-25 16:30:36","","389-416","","","","","","","","","","","Bulzoni","Roma","","","","","","","","","","","","","","Geerts, Walter; Vanvolsem, Serge","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VY5K2AH9","journalArticle","1982","Bosetti, Gilbert","De la poétique du mythe de Bontempelli aux «Géants de la montagne» de Pirandello – les rapports Pirandello Bontempelli","«Revue des études italiennes»","","","","","","1982","2020-05-08 07:39:59","2020-05-29 16:07:34","","40-71","","(1-2)","28","","","","","","","","","","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/WCP57QHQ/Bosetti - 1982 - De la poétique du mythe de Bontempelli aux «Géants.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHI4KBSV","journalArticle","2008","Storchi, Simona","Bontempelli on Pirandello: defining literary modernity in the 1930s","Pirandello Studies. Journal of the Society for Pirandello Studies","","","","","","2008","2020-05-18 13:56:11","2020-05-18 13:57:43","","124-139","","","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YE3F4WVR","journalArticle","2001","Meda, Anna","Tempo astorico e spazio mitologico nella riflessione e nella pratica pirandelliana","Studi d'Italianistica nell'Africa Australe","","","","","","2001","2020-05-19 07:18:30","2021-12-23 16:59:39","","33-44","","1","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H4HLG2R","book","1967","Baldacci, Luigi","Massimo Bontempelli","","","","","","","1967","2020-05-19 07:46:28","2020-05-19 07:47:06","","","","","","","","","","","","","Borla","Torino","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H6IYQQDJ","book","2017","Faustini, Giuseppe","Luigi Pirandello: studi e ricerche","","","","","","","2017","2020-05-19 13:16:33","2022-01-03 15:28:06","","","","","","","","","","","","","Metauro","Pesaro","","","","","","","","","","/Users/irenebertelloni/Zotero/storage/S72DEJM3/Faustini - 2017 - Luigi Pirandello studi e ricerche.pdf","","","Criticism and interpretation; 20th century; Authors, Italian; Correspondence; Pirandello, Luigi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
